Kind,Identifier,Term
1,13477,"Document, Projection, Section"
1,13472,"Document, Projection, Technical Drawing"
1,13274,"Document, Prospectus"
1,13772,"Document, Questionnaire"
1,13773,"Document, Rebus"
1,13269,"Document, Record Book"
1,13776,"Document, Recording"
1,13779,"Document, Recording, Audio Recording"
1,13777,"Document, Recording, Filmstrip"
1,13778,"Document, Recording, Motion Picture"
1,13780,"Document, Recording, Video Recording"
1,13283,"Document, Report"
1,13285,"Document, Report, Administrative Report"
1,13286,"Document, Report, Annual Report"
1,13284,"Document, Report, Proceedings"
1,13287,"Document, Report, Quarterly Report"
1,13288,"Document, Report, Technical Report"
1,13781,"Document, Reproduction"
1,13782,"Document, Reproduction, Facsimile"
1,13783,"Document, Reproduction, Replica"
1,13645,"Document, Reprographic Copy"
1,13646,"Document, Reprographic Copy, Blueprint"
1,13647,"Document, Reprographic Copy, Photocopy"
1,13648,"Document, Reprographic Copy, Reprint"
1,13784,"Document, Request"
1,13785,"Document, Request, Invitation"
1,13786,"Document, Request, Petition"
1,13289,"Document, Resolution"
1,13478,"Document, Rubbing"
1,13290,"Document, Rules"
1,13787,"Document, Schedule"
1,13788,"Document, Schedule, Fee Schedule"
1,13789,"Document, Schedule, Timetable"
1,13675,"Document, Scoring Document"
1,13676,"Document, Scoring Document, Scorebook"
1,13677,"Document, Scoring Document, Scorecard"
1,13790,"Document, Scroll"
1,13278,"Document, Shipping Record"
1,13279,"Document, Shipping Record, Bill of Lading"
1,13280,"Document, Shipping Record, Manifest"
1,13281,"Document, Shipping Record, Packing Slip"
1,13282,"Document, Shipping Record, Waybill"
1,13802,"Document, Specification"
1,13803,"Document, Sticker"
1,13804,"Document, Sticker, Bumper Sticker"
1,13479,"Document, Storyboard"
1,13775,"Document, Student Record"
1,13805,"Document, Tablet"
1,13313,"Document, Testimonial"
1,13678,"Document, Travel Document"
1,13679,"Document, Travel Document, Itinerary"
1,13680,"Document, Travel Document, Passport"
1,13681,"Document, Travel Document, Visa"
1,13806,"Document, Typescript"
1,13273,"Document, Work Order"
1,13480,"Document, Zoetrope Strip"
2,23101,Events
2,23102,"Events, Fire"
2,23103,"Events, Gala"
2,23104,"Events, Shipwreck"
4,29016,Frenchboro
4,29017,"Frenchboro, Black Island"
4,29018,"Frenchboro, Great Duck Island"
4,29019,"Frenchboro, Little Duck Island"
4,29020,"Frenchboro, Placentia Island"
1,12896,"Image, Art, Digital Art"
1,12903,"Image, Art, Drawing"
1,22009,"Image, Art, Illustration"
1,22001,"Image, Art, Other Art"
1,12925,"Image, Art, Painting"
1,12926,"Image, Art, Painting, Bark Painting"
1,12927,"Image, Art, Painting, Ceiling Painting"
1,12928,"Image, Art, Painting, Miniature Painting"
1,12929,"Image, Art, Painting, Panel Painting"
1,12930,"Image, Art, Painting, Wall Painting"
1,12931,"Image, Art, Pastel"
1,12932,"Image, Art, Picture"
1,12937,"Image, Art, Picture, Animal Picture"
1,12933,"Image, Art, Picture, Cityscape"
1,12938,"Image, Art, Picture, Genre Picture"
1,12939,"Image, Art, Picture, History Picture"
1,12934,"Image, Art, Picture, Landscape"
1,12935,"Image, Art, Picture, Petrograph"
1,12936,"Image, Art, Picture, Petrograph, Petroglyph"
1,12940,"Image, Art, Picture, Portrait"
1,12941,"Image, Art, Picture, Seascape"
1,12942,"Image, Art, Picture, Still-Life"
1,12943,"Image, Art, Picture, Townscape"
1,22002,"Image, Other Image"
1,13417,"Image, Photograph"
1,13424,"Image, Photograph, Black-and-White Photograph"
1,13425,"Image, Photograph, Color Photograph"
1,22003,"Image, Photograph, Digital Photograph"
1,13426,"Image, Photograph, Direct Positive"
1,13427,"Image, Photograph, Direct Positive, Ambrotype"
1,13428,"Image, Photograph, Direct Positive, Daguerreotype"
1,13429,"Image, Photograph, Direct Positive, Tintype"
1,13418,"Image, Photograph, Hologram"
1,13419,"Image, Photograph, Negative"
1,13420,"Image, Photograph, Negative, Calotype"
1,13421,"Image, Photograph, Negative, Glass Plate Negative"
1,13422,"Image, Photograph, Negative, Roll Film Negative"
1,13423,"Image, Photograph, Negative, Sheet Film Negative"
1,13430,"Image, Photograph, Photographic Print"
1,13435,"Image, Photograph, Photographic Print, Albumen Print"
1,13431,"Image, Photograph, Photographic Print, Anaglyph"
1,13434,"Image, Photograph, Photographic Print, Cabinet Photograph"
1,13432,"Image, Photograph, Photographic Print, Carte-de-visite"
1,13433,"Image, Photograph, Photographic Print, Cyanotype"
1,13436,"Image, Photograph, Photographic Print, Digital Print"
1,22008,"Image, Photograph, Photographic Print, Panorama"
1,13437,"Image, Photograph, Photographic Print, Platinum Print"
1,13438,"Image, Photograph, Photographic Print, Salted Paper Print"
1,13439,"Image, Photograph, Photographic Print, Snapshot"
1,13440,"Image, Photograph, Photographic Print, Stereograph"
1,13441,"Image, Photograph, Photographic Print, Stereoview"
1,11628,"Image, Photograph, Picture Postcard"
1,13442,"Image, Photograph, Radiogram"
1,13443,"Image, Photograph, Transparency"
1,13444,"Image, Photograph, Transparency, Lantern Slide Transparency"
1,13445,"Image, Photograph, Transparency, Roll Film Transparency"
1,13446,"Image, Photograph, Transparency, Slide Transparency"
1,13448,"Image, Print"
1,13449,"Image, Print, Embossed Print"
1,13450,"Image, Print, Intaglio Print"
1,13451,"Image, Print, Intaglio Print, Engraving"
1,13452,"Image, Print, Intaglio Print, Etching"
1,13453,"Image, Print, Photomechanical Print"
1,13454,"Image, Print, Photomechanical Print, Collotype"
1,13458,"Image, Print, Photomechanical Print, Dye Transfer Print"
1,13455,"Image, Print, Photomechanical Print, Photoengraving"
1,13456,"Image, Print, Photomechanical Print, Photogravure"
